walk_id,title,area,wainwrights,county,author,grade,distance_miles,distance_km,ascent_feet,ascent_metres,estimated_time,start_lat,start_lng,start_postcode,description,gpx_available
1143,"Hallin Fell from Martindale Church, Sandwick",Far Eastern Fells,Hallin Fell,Cumbria,Lou Johnson,easy,2.0,3.3,400,121,1 hours 20 minutes,54.563958,-2.8752953,CA10 2NF,"Not the most demanding Lake District fell walk but ideal with gale to storm force icy winds sweeping across the mountains. Described by Wainwright as a ""motorists fell"" it is an easy stroll to the summit of Hallin Fell (1272ft 388m) from the small car park (grid ref. NY 435191) adjacent to St Peter's church. Climbing in perfect light and visibility was easy on the lee side of the fell and the strength of the wind was not felt until the summit was neared. The last few yards had to be completed on hands and knees as the wind threatened to send us down into Martindale.

The summit cairn is a sturdy piece of stonework and provided enough shelter to admire the extensive views across the Lake District. Despite Hallin Fell's lowly stature, almost the whole of Ullswater can be seen, flanked on all sides by higher fells. We could see the snow being blown off Helvellyn and the other high tops to the west. Nearer to hand the fells of the High Street range shimmered with snow which had fallen the previous night. Away to the east the white tops of the Pennines could be easily seen in the clear cold air.

No detailed description of the walk is necessary. After parking by the church, follow your nose upward over pleasant grassy paths to the cairn. If time permits spend a few minutes to visit St Peter's Church - what a beautiful location for worship!",True
1109,Harter Fell & Nan Bield Pass from Mardale Head,Far Eastern Fells,Harter Fell,Cumbria,Lou Johnson,moderate,4.5,7.3,1800,545,4 hours 0 minutes,54.488834,-2.8227468,LA8 9JN,"This is a Lake District short walk ideal for a morning or afternoon excursion into the Lakeland Fells. As on this occasion it is also ideal for a window of good weather on an otherwise poor day. The start is the small carpark at the western end of Haweswater Reservoir (Grid ref. NY468107) and includes a relatively easy ascent of Harter Fell (the Mardale version not the Eskdale variety!) with a superb walk down from Nan Bield Pass back to the start.

After parking take the track signed Gatescarth Pass. This bridleway heads roughly south-east climbing easily with the steep crags of Harter Fell rising on your right and the smoother slopes of Branstree on your left. During the climb it is worth looking back as the view across Mardale to the High Street Fells improves as you climb with Rough Crag and the Long Stile ridge dominating the picture.

Reaching the summit of Gatescarth Pass turn right continuing to climb. The path skirts Little Harter Fell before steepening somewhat to gain height more rapidly. Just after the path turns left the view down into Mardale is superb although many people intent on reaching the summit miss it completely!

The summit of Harter Fell is not very inspiring being rather too flat to offer a great view. The descent to Nan Bield Pass is cairned and begins heading west from the summit cairn. It is a steep descent in places offering an excellent view across the pass to Mardale Ill bell and beyond. Down to your right Small Water comes into view with larger Blea Water to its left under the eastern crags of High Street.

Reaching the stone shelter at Nan Bield Pass turn right and follow the clear path that descends to the shores of Small Water. This is superb Lakeland scenery with many crags and interesting mountain cameos. Cross Small Water Beck as it leaves the tarn and follow it down past some small but beautiful waterfalls. All too soon you are back at Mardale Head. Before leaving take a look back to Harter Fell and admire the crags - it is one Lakeland view that's certainly worth a second look .....",True
3033,Tarn Crag & Harrop Pike from Sadgill,Far Eastern Fells,"Grey Crag, Tarn Crag",Cumbria,Lou Johnson,moderate,5.5,8.9,1780,539,4 hours 30 minutes,54.44406,-2.7987183,LA8 9BE,"The Lake District fells to the east of Longsleddale are little walked probably because they are less dramatic than their better known sisters to the west. More in keeping with the character of the Pennine hills, there is some soft ground to negotiate after rain hence my choice of a dry spell to complete this walk. Longsleddale is one of my favourite Lakeland valleys and the scenic drive to the small farming community of Sadgill helps to put you in the right frame of mind for a mountain expedition. Adequate parking is available at the road end (grid ref. NY483057) and from here you have a fine view of the craggy upper sections of the dale.

Pass through the gate in the Eastern wall adjacent to the car parking area, initially following the track up the field and then turn steeply upwards to the stile in the wall at the top of the field that is visible from the car park. Cross the stile and continue straight ahead following the path up an obvious rock strewn gully.

At the top you reach a wall. Turn left alongside it on an intermittent path that gradually climbs in a northerly direction towards Tarn Crag. Maintaining the same direction when the wall ends you will reach a fence which you should keep on your left. The summit of Tarn Crag lies ahead and it is a matter of taking the driest route to the summit, which has a survey pillar identical to that on nearby Branstree.

The view from this top is good apart from the western sector containing the Lake District Fells. Away to the east are the Pennines and if you are blessed with good visibility you should be able to pick out many of the high fells. Suitably refreshed, head north-east along a clear path to reach a fence. The cairn on Harrop Pike, our next objective, is clearly seen and to reach it turn right alongside the fence to cross Greycrag Tarn which can be best described as a bog! This area looks as though it will be awful after heavy rain with wet feet a certainty - such are the pleasures of fell walking!

Where the fence turns sharp left follow it out to the large cairn on Harrop Pike from where the view over the desolate Shap Fells, another Wasdale, a less well-known Borrowdale, and Bannisdale is excellent. The next summit of this walk is Grey Crag which lies south-west. retrace your steps back along the fence back to where it turns north-west and continue along an improving path to the small cairn on Grey Crag (also known as Sleddale Fell).

The route back to Sadgill follows the path which leaves Grey Crag. Having crossed the fence, the path heads just south of west for a hundred yards or so and then turns to the south along the low ridge to the summit of Great Howe. The survey post is kept well to the left and soon disappears from view when you pass along the low ridge. From the summit the path turns to the right a little and descends to a stile in a fence. Cross the stile and follow the fence to the right where it soon becomes a wall which is the one you encounter at the top of the rock strewn gully a little further along. All that remains is to follow the outward route back to Sadgill with the high crags of Longsleddale adding a fitting finale to the walk.",True
1959,Gray Crag and Pasture Beck from Hartsop,Far Eastern Fells,Gray Crag,Cumbria,Lou Johnson,moderate,5.5,8.9,2200,667,5 hours 0 minutes,54.508859,-2.9127286,CA11 0NY,"This short Lake District circular walk provides excellent views and great walking. The start is the pretty village of Hartsop where some cottages still retain their spinning galleries. The climb onto Gray Crag is steep but once this ascent has been completed the walk is relatively straightforward to reach Thornthwaite Beacon. A descent to Threshthwaite Mouth is followed by a beautiful valley walk alongside Pasture Beck back to the start.

There is limited parking at the end of the lane through Hartsop village (Grid ref. NY409130). From here walk up the track towards Hayeswater, keeping the extensive sheep-pens on your right. Descend to cross Hayeswater Gill by a bridge (Grid ref. NY416128). The track starts to climb with Gray Crag to your right. The start of the path is not too clear and some detective work is required at grid ref. NY420129 where you leave the main track and start the climb over grass. After a short way the route steepens and the path becomes clear. After the initial steep section the gradient eases and the route slants left across the end of Gray Crag before trending right to gain the ridge.

The bulk of the ascent is now over and the walking becomes easier with improving views in all directions across the Lake District. To the left lies High Street and to your right the parallel ridge of Hartsop Dodd. Behind lie Brock Crag, the Angletarn Pikes and Rest Dodd amongst other fells. Reaching the first summit you lose height before reaching a higher top (Grid ref. NY429110). After this there is a brief descent and all that remains is a short climb onto Thornthwaite Beacon with its large cairn. From here the views open up to the south with Lake Windermere a distinctive landmark.

The descent begins here with the path down to Threshthwaite Mouth heading northwest. The path is quite loose in places and makes this a rather unpleasant descent. However the view ahead to Caudale Moor does provide some compensation. Reaching the col (Grid ref. NY426102), turn right through the wall and descend into the u-shaped valley that is home to Pasture Beck. The first section of steep path has been improved in recent years and once this has been completed the remaining route is easy and relaxed.

All the way down the valley the slopes of Gray Crag dominate on your right as delightful Pasture Beck tumbles down the valley. Evidence of glacial activity in the past can be seen in the moraines scattered about the valley floor. Nearing Hartsop the path becomes a track which drops down to cross Pasture Beck over a stone arch bridge. On the other side turn left down the track and you are soon back at the start.",True
1152,The Corpse Road and Selside Pike from Mardale,Far Eastern Fells,"Branstree, Selside Pike",Cumbria,Lou Johnson,moderate,6.0,9.8,1830,555,4 hours 50 minutes,54.498834,-2.8059627,CA10 2QT,"The Lakleand mountains close in as you drive along the shores of Haweswater towards Mardale Head. There is a car park at the end of the road but it is better to park where the Old Corpse Road leaves the road (grid ref. NY 479118). For many years before the construction of Haweswater Reservoir the village of Mardale buried its dead in the village of Shap. The first part of this walk traces the steps of these sombre processions as they made their way over the shoulder of Selside Pike into Swindale.

You may be surprised by the relatively large number of people armed with high powered binoculars and telephoto lenses in the Mardale area. The reason for all this activity is the last pair of breeding Golden Eagles in England who nest in the crags above Riggindale. This fine u-shaped valley is on the opposite side of the reservoir from where you have parked your car. From mid-April onwards there is much excitement as the prospect of chicks gets closer.

Take the path which zig-zags upwards from the road, heading roughly east as it climbs rapidly. At each turn the view across the Lake District improves, giving a good excuse to pause to catch your breath! Soon the initial steepness is over and the hardest part of the walk is behind you even though you still have some height to gain. The path is clear, helped by marker posts at regular intervals. Quite quickly you reach the summit and it is here you leave the Corpse Road to turn south on a less-distinct path to the summit of Selside Pike.

It is better to trend left on this section as there are excellent views down into lonely Swindale and across to the Pennines. Reaching the summit of Selside Pike, you are rewarded with a fine panorama across to the High Street Range in the west. Less visited, the wild Shap Fells and the Howgills can be seen to the east.

The next objective is Branstree easily reached by following the path along the western side of the fence. It is easy going despite the occasional ""soft"" spot. You will notice on the OS map that a pillar is marked. This is worth a detour from the main path. Erected by the engineers building the Long Sleddale aqueduct, it is a reminder of the days when Mardale was a hive of construction activity as the reservoir gradually took shape.

A short way before the summit of Branstree a couple of large ""beehive"" cairns provide an interesting place to take in the view before reaching the actual ""top"". The reward for all your effort is laid out to the west. High Street, Harter Fell and Mardale Ill Bell are the principal fells in view with the tarns of Blea Water and Small Water adding interest to the scene. It is one of the finest panoramas in the far eastern Fells.

The start of the final descent of the day is always a moment of sadness as you realise that you'll have to wait for another day to visit to tops. The descent from Branstree is easy, following the fence down to Gatescarth Pass where the main bridle-path is joined for the onward route down to Mardale Head. To your left, the wonderful craggy east face of Harter Fell throws out a challenge for another day. On reaching the car park take the path that skirts the reservoir rather than follow the road and quite soon you are back at your car.

The walk as described took just over four hours at our leisurely pace. For a longer day in the hills it is quite feasible to continue from Gatescarth Pass over Harter Fell and down to Nan Bield Pass, returning from there to Mardale Head Car Park. This will add around 600 feet of ascent and a couple of miles of very interesting walking.",True
2488,Shipman Knotts & Kentmere Pike from Kentmere,Far Eastern Fells,"Shipman Knotts, Kentmere Pike",Cumbria,Lou Johnson,moderate,6.2,10.1,1800,545,4 hours 50 minutes,54.4294530,-2.8323466,LA8 9JP,"A straightforward ascent of Kentmere Pike that offers excellent walking with superb views. The outward route follows a path over Wray Crag to the summit of Shipman Knotts. The walk continues to reach the minor top above Goat Scar to gain the main ridge which is followed to Kentmere Pike's summit. The return route descends to Hallow Bank from where bridleways and lanes return to the start.

The walk starts from the small community of Green Quarter (grid ref. NY461041) where there is parking space for a few cars. If none are available, then start from Kentmere. From the small village green walk uphill along the no-through road and join the signed path which heads uphill northwest to join the Hallow Bank to Sadgill track (grid ref. NY476050) which lies in a broad col. Cross the track and follow the path steeply uphill with a wall on your right. This path leads over Wray Crag and continues up to the summit of Shipman Knotts.

After a very brief descent continue up to a ladder stile over a wall (grid ref. NY472067). Once over the stile you can either take the main path or my preferred choice is to follow the fence on your right up to the minor top (spot height 629m) and then turn left along the fence and later a wall to the summit of Kentmere Pike. The view is extensive and includes Yoke, Ill Bell etc. across the Kentmere valley. The view also extends east to Harrop Pike and Selside. Looking southwest Windermere can also be seen.

To start the descent, retrace your steps along the approach path. Just before the wall changes to a fence, fork left and follow a grassy path down to a ladder stile (grid ref. NY470069). The path soon swings southwest then heads down a grassy gulley to pass through a gap in a wall (grid ref. NY467061). Continue to descend to reach Hallow Bank. Head downhill along a narrow lane to reach a fingerpost on the right. Turn right down the signed bridleway and approaching houses ahead turn left. Pass a barn on your right and continue along the track as it turns south. You are now on Low Lane (track) which heads south with a wall on your right. After 300 metres the track runs between walls and after 600 metres reaches a tarmac lane. Turn right and continue back to Green Quarter.",True
1228,Thornthwaite Beacon & High Street from Hartsop,Far Eastern Fells,"High Street, The Knott, Thornthwaite Crag",Cumbria,Lou Johnson,moderate,6.5,10.6,2460,745,5 hours 40 minutes,54.508859,-2.9127286,CA11 0NY,"This is a relatively short excursion into the higher fells of the eastern Lake District. Despite its length it has plenty to offer especially when the weather was as dramatic on the day when these pictures were taken. The start is in the picturesque village of Hartsop, which is a short drive off the A592 at the northern end of Kirkstone Pass, where limited parking is available at the far end of the village (grid ref. NY410130). If this is full then alternative parking is often available at Cow Bridge (grid ref. NY402134) just off the A591. However the latter adds about a mile on tarmac to the route.

After parking go through the gate and turn right taking the track to cross the bridge onto the southern side of the beck. Stay on this track through fields to reach open country in Pasture Bottom (grid ref. 417123). By now you are in a fine u-shaped valley with Gray Crag to your left and the slopes of Hartsop Dodd to your right. Ahead you can see the path climbing steadily.

Keep with the path. It steepens as it threads its way through glacial moraines to reach an area that must have once held a tarn. This is Threshthwaite Cove with a col ahead. The real ""collar work"" starts as the path climbs steeply to this col - Threshthwaite Mouth - from where the reward is a fine view south to Windermere. Turn left and follow the clear path for Thornthwaite Beacon. The going remains steep until you reach the summit plateau, which is adorned with a well-built cairn of substantial proportions. This point is a good place for a break as a wall provides shelter. It also offers some impressive Lake District views.

The onward route takes us to the summit of High Street along a broad well walked path. The trig point is behind the wall from where a short stroll east takes you to the top of Long Stile and a wonderful bird's eye view of Rough Crag with Mardale far below. After enjoying the view return to the summit and follow the wall north keeping it on your left. This route offers better views into Riggindale than the main path which follows the western flank of High Street. Descending to the Straits of Riggindale you get superb views on both sides. Down to your left is Hayeswater and you will soon be making a closer acquaintance with this on the next section of the walk.

Climbing out from the Straits of Riggindale bear left along a clear path ignoring the main ridge path that continues on to High Raise. Ahead and slightly to your left is the rounded shape of the Knott ( which can be easily climbed for a fine view) with the path contouring around its eastern flank. Descending the view changes with Rest Dodd, Brock Crags and the Angletarn Pikes the dominant summits.

Continuing to descend quite steeply you arrive at the footbridge by the dam at the northern end of Hayeswater. Cross this bridge to reach a track. Turn right and follow this downhill with the splendid waterfalls and cascades of Hayeswater Gill to your right. This track eventually crosses the gill near a tumbledown barn and leads you back to the start.",True
1110,Angletarn Pikes from Hartsop,Far Eastern Fells,Angletarn Pikes,Cumbria,Lou Johnson,moderate,7.0,11.4,1810,548,5 hours 20 minutes,54.51236,-2.9251636,CA11 0NZ,"This is a popular Lake District circular walk offering some excellent scenery and pleasant walking. After parking in the small car park at Cow Bridge (Grid ref. NY403134) on the A592 between Patterdale and Kirkstone Pass, follow the main road back towards the village of Hartsop turning left into the lane and left again into a farm access road. This leads straightforwardly to Dubhow where a path rises across the fellside to Boredale Hause.

The Hause is a great place to rest and take in the view. Despite the relatively low altitude the panorama is extensive especially if you take a few minutes to seek out the views. Turning south a well used path heads towards the Angletarn Pikes, which always seem prominent when viewed from the valley floor. There is a choice of paths and we kept to the highest taking the time to clamber to the both the north and south summits of the Angletarn Pikes.

The extra height gained since Boredale Hause has considerably improved the view and the High Street range dominates the view south. Across the valley to the west, the high peaks of the Helvellyn Massif form an impressive line of mountains. Heading around the north and eastern shores of Angletarn, beautifully located amidst the mountains, you are treated with an excellent view down into Martindale from the lofty viewpoint of Satura Crag.

At times the path is soft although do not let this deter you as you continue towards the Knott. Reaching a cross wall (grid ref. NY433131), turn south west down the hillside to the small footbridge across the outlet from Hayeswater. This small reservoir is dramatically located in a deep u-shaped valley with High Street providing a grand backdrop. Turning north east keep to the south side of Hayeswater Gill as its tumbles prettily down to the village of Hartsop.

Roughly half way to the village cross to the northern side of the Gill and follow the improving track downhill. The village of Hartsop has some interesting cottages and some still have their spinning galleries, a feature common on many Lakeland cottages. Within minutes you are back at your car after having enjoyed some fine mountain walking without too much hard work!",True
1269,High Street & Kidsty Pike from Mardale Head,Far Eastern Fells,"High Street, Kidsty Pike",Cumbria,Lou Johnson,moderate,7.5,12.2,2700,818,6 hours 30 minutes,54.488834,-2.8227468,LA8 9JN,"This, in my humble opinion, is one of the best walks in the Lake District as it has just about all the features of the National Park contained in a simple yet challenging route. The description and photos below are based on a winter visit and include notes on sections that might be challenging with snow on the ground.

The start is the car park at Mardale Head (Grid ref. NY 468107). From here continue to the end of the road and go through the gate and take the first path on the right that leads across Mardale Beck to gain the far shore of Haweswater Reservoir where you turn right again heading towards the Rigg.

As the path climbs away from the shore of the reservoir look out for a steep path going half left. Take this and climb up to the wall that runs the length of the Rough Crag ridge. On reaching the wall turn left and follow the clear path to the summit of Rough Crag. The route is full of interest with typical Lake District views full of detail in all directions.

Descending from Rough Crag the path passes a small tarn with Long Stile ahead. This is an interesting climb with the option of a few scrambles for those who so desire. The ascent goes quickly and you are soon onto the summit of High Street. To reach the summit bear half left and the trig point will be found near the wall.

Continue by following the wall north. You descend to the Straits of Riggindale from where there is an excellent view the length of Riggindale, which is famous as being the home of the only paid of nesting Golden Eagles in England and Wales. As the path begins to climb again take the right fork. This leads without further problem to the rocky summit of Kidsty Pike.

Descend off the summit in an easterly direction to descend over the rocky outcrop of Kidsty Howes. From here the path continues in a bee-line to Bowderthwaite Bridge (Grid ref. NY 468118). Continue ahead on the clear path that climbs over the ridge to rejoin your outward path which is followed back to the car park.

Notes - This walk was undertaken in very cold weather after moderate snowfall, which had undergone some melting. All paths had sections of avoidable ice. Long Stile also had some tricky icy sections but again these were all avoidable. The final climb onto High Street was covered with snow. care needed to be taken to gain decent footholds. Once the summit has been gained no further problems apart from icy grass were encountered. The latter was surprisingly dangerous especially on the descent to Kidsty Howes.",True
2047,Place Fell from Patterdale,Far Eastern Fells,Place Fell,Cumbria,John Paterson,moderate,7.5,12.2,1700,515,5 hours 30 minutes,54.53474,-2.936488,CA11 0NN,"Place Fell occupies a wonderful position on the shore of Ullswater and the views, especially over the lake to the Helvellyn range, are excellent. Although of moderate difficulty, this Lake District circular walk is reasonably long and the return path along the lake shore footpath from Sandwick, whilst beautiful, is not the gentle stroll which might be imagined from a glance at the map!

Start: There is free parking in a lay-by (GR NY397158) for a few cars on the east side of the road 75 yards south of Patterdale Post Office. If this is full, then a pay and display carpark (GR NY395159) can be found opposite the Patterdale Hotel 120 yards north of the lay-by.

Head south along the road from the post office and after 150 yards turn left down a minor road which leads across Goldrill Beck to the hamlet of Rooking. At Rooking, follow the lane to the left up the hill for 50 yards until a signpost to the right points to the path to Boredale Hause. This is a good path which rises steadily in a south easterly traverse towards the hause. The views back down to the valley are excellent and ahead the view opens up towards Brothers Water and the Kirkstone Pass. The hause is a wide pass, almost a plateau, (GR406157) but before the true summit of the pass is reached, a choice of several paths heads off left towards the summit of the fell. Choose whichever path you wish - as long as it heads north it will take you quite steeply to the false summit of Round How before a more gentle path past some small tarns leads to the true summit a few hundred yards further on.

Place Fell summit is well worth a long stop for lunch and to take in the views. To the north east the Pennines can be seen on a clear day. South east is the long ridge of High Street and to the west the views of the Helvellyn range (seen over Ullswater and Glenridding) are unsurpassed. Head north from the summit to pass a rock formation known as the Knight and follow the path as it curves east to reach a sheepfold at the depression of Low Moss (GR414178). There is a choice of ways here. The most interesting way is to take a middle way between the two paths marked on the map and head north over the minor top of High Dodd and the shoulder of Sleet Fell and down into the hamlet of Sandwick. When the unfenced road is reached, turn left and follow the road for a few yards until you are just short of the farm when you should turn left onto the lake shore path running above the fell wall.

The lake shore path stays about a hundred feet above the lake. The scenery surrounding the path is delightful and the underfoot conditions are good. However, it is very undulating with a few steep climbs and descents and the 3.5 miles back to Rooking may seem longer to tired legs. Once back at Rooking, recross Goldrill Beck and turn right at the main road to reach the start of the walk.",True
